code,name
1,EQUITY
1.03,RETAINED EARNINGS
1.03.01,UNAPPROPRIATED PROFIT/(LOSS)
1.05,PROFIT DISTRIBUTION
1.05.02,PROFIT DISTRIBUTION - OTHERS
2,LIABILITIES
2.02,LOAN FROM RELATED PARTIES
2.02.01,LOAN FROM DIRECTORS
2.02.03,LOAN FROM OTHERS
2.07,CREDITORS
2.09,SHORT TERM BORROWINGS
2.09.01,DA L/C'S
2.11,EXPENSES PAYABLE
2.11.01,EXPENSES PAYABLE - HEAD OFFICE
2.11.02,EXPENSES PAYABLE - MILLS
2.12,TAX AT SOURCE
2.12.02,TAX AT SOURCE PRA - SERVICES
2.12.09,TAX AT SOURCE - EMPLOYEES SITE
2.13,OTHER LIABILITIES
2.13.02,OTHER LIABILITIES
2.13.03,INTEROFFICE TRANSFERS
2.14,PROVISION FOR TAXATION/WWF
3,PROPERTY AND ASSETS
3.01,FIXED ASSETS
3.01.01,FIXED ASSETS - OWN
3.02,ACCUMULATED DEPRECIATION
3.02.01,ACCUMULATED DEPRECIATION - OWN ASSETS
3.03,CAPITAL IN PROGRESS
3.04,LONG TERM INVESTMENT
3.04.01,ASSOCIATED CONCERNS
3.04.02,INVESTMENT - OTHERS
3.06,"LONG TERM DEPOSITES, PREPAYMENTS AND DEFFERED COST"
3.06.01,LONG TERM DEPOSITS
3.07,"STORES, SPARES AND LOOSE TOOLS"
3.07.01,"STORES, SPARES, AND LOOSE TOOLS"
3.08,STOCK IN TRADE
3.08.03,RAW MATERIAL
3.08.05,WASTE
3.09,TRADE DEBTORS
3.10,ADVANCES AND PREPAYMENTS AND OTHER RECEIVABLES
3.10.01,ADVANCE AGAINST SALARY - MILL
3.10.02,ADVANCE AGAINST SALARY - HO
3.10.03,ADVANCE AGAINST EXPENSES
3.10.07,LETTER OF CREDIT
3.10.09,OTHER RECEIVABLES
3.11,ADVANCE INCOME TAX/SALES TAX
3.11.01,ADVANCE INCOME TAX AGAINST CASH WITHDRAWLS
3.11.03,ADVANCE INCOME TAX AGAINST LOCAL SUPPLIES
3.12,EXPORT/RETAIL BUSINESS ACCOUNT
3.12.01,RETAIL BUSINESS A/C
3.14,CASH AND BANK BALANCE
4,SALES
4.01,LOCAL SALES
4.01.01,LOCAL SALES - ALL
4.03,SALES RETURNS
4.03.02,WEIGHT SHORTAGE
5,COST OF SALES
5.01,RAW MATERIAL CONSUMED
5.01.02,COMMISSION ON RAW MATERIAL
5.01.03,MATERIAL SERVICE CHARGES
5.01.05,DOUBLING CHARGES
5.01.11,YARN PURCHASED - IMPORT
5.02,"SALARIES,WAGES AND OTHER BENEFITS"
5.02.01,SALARIES AND WAGES - SITE
5.03,STORE CONSUMED
5.03.01,STORE CONSUMED
5.04,PACKING MATERIAL CONSUMED
5.04.01,PACKING MATERIAL CONSUMED
5.05,REPAIR AND MAINTENANCE
5.05.01,REPAIR AND MAINTENANCE - SITE
5.06,TELEPHONE AND MOBILE EXPENSES
5.06.01,MOBILE EXPENSES
5.06.02,TELEPHONE EXPENSES - SITE
5.07,CONTRACTUAL EXPENSES
5.08,CARRIAGE AND FREIGHT
5.08.01,CARRIAGE AND FREIGHT - MATERIAL
5.08.02,CARRIAGE AND FREIGHT - OTHERS
5.09,POWER EXPNSES - SITE
5.09.01,POWER EXPENSES - SITE
5.10,VEHICLE RUNNING EXPENSES - SITE
5.10.01,VEHICLE RUNNING EXPENSES - SITE
5.11,TRAVELLING AND CONVEYANCE - SITE
5.12,"RENT,RATES AND TAXES"
5.12.01,"RENT,RATES AND TAXES"
5.13,FEE AND SUBCRIPTION - SITE
5.13.02,CESS EXPENSES - SITE
5.14,MISCELLANEOUS EXPENSES - SITE
5.15,ENTERTAINMENT EXPENSES - SITE
5.15.01,ENTERTAINMENT EXPENSES - SITE
5.16,PRINTING AND STATIONERY
5.17,EXPORT BUSINESS EXPENSES
5.17.01,EXPORT BUSINESS EXPENSES
5.18,INVENTORIES - COST OF SALES
5.18.01,WORK IN PROCESS
6,ADMINISTRATION & SELLING EXPENSES
6.01,ADMINISTRATIVE EXPENSES
6.01.01,DIRECTOR'S REMUNERATION
6.01.02,SALARIES AND ALLOWANCES
6.01.04,ENTERTAINMENT EXPENSES
6.01.05,TELEPHONE /MOBILE EXPENSES
6.01.07,VEHICLE MAINTENANCE EXP - STAFF
6.01.08,VEHICLE MAINTENANCE EXP - DIRECTORS/EXECUTIVES
6.01.10,"RENT,RATES AND TAXES"
6.01.11,FEE AND SUBSCRIPTION
6.01.12,LEGAL AND PROFESSIONAL EXPENSES
6.01.14,CHARITY/DONATION/ZAKAT EXPENSES
6.01.15,REPAIR AND MAINTENANCE - HEAD OFFICE
6.01.16,SOFTWARE EXPENSES
6.01.18,POSTAGE AND TELEGRAM
6.01.19,TRAVELLING AND CONVEYANCE
6.01.20,PRINTING AND STATIONERY EXPENSES
6.02,SELLING EXPENSES
6.02.01,SALARIES - MARKETTING
6.02.02,FREIGHT - OURWARD
6.02.03,TRAVELLING AND CONVEYANCE - MARKETTING
6.02.05,COMMISSION ON SALES
6.02.06,CLAIMS/PROMOTIONS
6.03,OTHER OPERATING EXPENSES
6.03.01,PROFIT ON INVESTMENT
7,OTHER INCOME
7.01,PROFIT ON BANK DEPOSITS
7.01.01,PROFIT ON BANK DEPOSITS
7.02,OTHER INCOME
8,FINANCIAL EXPENSES
8.04,FINANCIAL CHARGES
8.04.01,FINANCIAL CHARGES
