name,category_name,product_type
MIX B GRADE,Mix B Grade,finished_good
20/1 ACRYLIC MIX.,Acrylic Yarn,finished_good
20/1 MIX. ACRYLIC SIRO,Acrylic Yarn,finished_good
40/2 ACRYLIC MIX.,Acrylic Yarn,finished_good
40/2 ACRYLIC,Acrylic Yarn,finished_good
40/1 ACRYLIC MIX. DYED BLACK LOT-4,Acrylic Yarn,finished_good
40/2 ACRYLIC MIX (DYED BLACK),Acrylic Yarn,finished_good
20/1 CPA-01,Acrylic Yarn,finished_good
7.5/1 CTN CDD,Cotton Yarn / CMB / Wool,finished_good
16/1 CM RING 70 D LYCRA 3.6 DRAFT POLY BCI,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
16/1 CDD TOWEL,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
16/1 CLT,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
16/1 LINEN/COTTON,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
16/1 LINEN/COTTON LOT-2,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
18/1 LINEN/COTTON,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
20/1 AVT,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
20/1 CLT-03,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
20/1 CLT-03 LOT-3,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
24/1 CLT-04,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
30/1 CLT-04,Cotton / Linen / Tencel Yarn / Trilobal,finished_good
30/1 CN-53 HOS(MULTI NEPS),Mix Material Yarn,finished_good
30/1 CN-53,Mix Material Yarn,finished_good
26/1 CFC-66,Mix Material Yarn,finished_good
26/1 CFC-73,Mix Material Yarn,finished_good
30/1 CFC-73,Mix Material Yarn,finished_good
30/1 CFC-90,Mix Material Yarn,finished_good
36/1 CFC-104 LOT-2,Mix Material Yarn,finished_good
30/1 CFC-86 WVG,Mix Material Yarn,finished_good
30/1 CN-44 MVS ( WHITE NEPS),Mix Material Yarn,finished_good
30/1 CFC-01 LOT-5,Mix Material Yarn,finished_good
30/1 CFC-01 LOT-4,Mix Material Yarn,finished_good
30/1 CFC-01 LOT-6 MVS,Mix Material Yarn,finished_good
37/1 CFC-67 MVS,Mix Material Yarn,finished_good
37/1 CFC-67 MVS LOT-2,Mix Material Yarn,finished_good
40/1 T-06 (TWEERA) MVS,Mix Material Yarn,finished_good
40/1 TWEERA LOT-3 # 25 MVS,Mix Material Yarn,finished_good
40/1 TWEERA LOT-4 # 25 MVS,Mix Material Yarn,finished_good
40/1 TWEERA LOT-5 # 25 MVS,Mix Material Yarn,finished_good
40/1 TWEERA T# 26 MVS,Mix Material Yarn,finished_good
40/1 TWEERA # 12 MVS,Mix Material Yarn,finished_good
