name,payable_account_code
IBRAHIM FIBRES LIMITED,2.07.01
LUCKY CORE / ICI PAKISTAN LIMITED,2.07.01
E-VISION MANUFACTURING CO,2.07.01
ENZO (TALIB C/O IMRAN),2.07.01
ALTAF BROKER,2.07.01
LASANI COTTON CORPORATION,2.07.01
BEST FIBERS (PVT) LTD,2.07.01
LASANI FIBERS INDUSTRIES,2.07.01
MB TEXTILE CORPORATION,2.07.01
JALANDAR COTTON (ZULFIQAR BROKER),2.07.01
SAMAD CORPORATION,2.07.01
ATIF MOBEEN COTTON,2.07.01
MAQBOOL TEXTILE MILLS LTD,2.07.01
SULTAN AYUB COTTON,2.07.01
NS CONE DYEING - RAW MATERIAL,2.07.01
SHEIKH ASLAM - HARD WASTE,2.07.01
CHENAB COTTON - ZULFIQAR,2.07.01
SOLEJA INC,2.07.01
ZULFIQAR COTTON,2.07.01
FATIMA TEXTILE MILLS LTD,2.07.01
Z.A CORPORATION,2.07.01
ABDUL SAMAD CORPORATION,2.07.01
AMK TRADERS - RM,2.07.01
GULF FIBER COMPANY (PVT) LTD.,2.07.01
OLYMPIA TEXTILE MILLS LTD - RM,2.07.01
RELIANCE WEAVING MILLS LTD,2.07.01
HASSAN TRADERS - ZULFIQAR,2.07.01
A.J TEXTILE MILLS LTD,2.07.01
C.A TEXTILE MILLS (PVT) LTD.,2.07.01
J.K SPINNING MILLS LTD,2.07.01
SAIF TEXTILE MILLS LTD,2.07.01
KHURSHEED TRADING COMPANY - RAW MATERIAL,2.07.01
LATIF WORSTED SPIINNING MILLS LTD,2.07.01
MUZAMMIL LATIF COTTON,2.07.01
ASIA ACCESS TECHNOLOGIES,2.07.01
INSAF COTTON GINNERS,2.07.01
KARAM-E-KAREEM SPINNING MILLS (PVT) LTD.,2.07.01
YOUNUS TEXTILE MILLS LTD,2.07.01
NEW CHEEMA COTTON,2.07.01
AL-ZAMIN TEXTILE,2.07.01
REHMAN COTTON - ALAM SHER,2.07.01
ITTEFAQ COTTON,2.07.01
GM TEXTILE,2.07.01
BOKHARI COTTON,2.07.01
AA COTTON MILLS LTD,2.07.01
IDEAL TRADING CO. - RAW MATERIAL PURCHASE,2.07.01
GUL AHMED TEXTILE MILLS LTD,2.07.01
NISHAT MILLS LTD - MATERIAL PURCHASE,2.07.01
M.RAMZAN - INSURANCE SALVAGE,2.07.01
HIRA TEXTILE MILLS LTD - MATERIAL PURCHASE,2.07.01
NORTH STAR TEXTILE,2.07.01
SURRIYA TEXTILE MILL (PVT) LTD.,2.07.01
FAYYAZ COTTON (PVT) LTD.,2.07.01
KOHAT TEXTILE MILLS LTD,2.07.01
KASHIF TRADER SHUJABAD,2.07.01
TRICON FIBRES,2.07.01
BASHIR TRADERS,2.07.01
GLAMOUR TEXTILE MILLS LTD,2.07.01
BHATTI COTTON,2.07.01
SHAHID ASSOCIATES - COTTON,2.07.01
FAZAL CLOTH MILLS LIMITED - MATERIAL,2.07.01
LASANI MODEL INDUSTRIES,2.07.01
BILAL AGRO SEEDS,2.07.01
FOUR BROTHER AGRI SERVICES PAKISTAN - COTTON,2.07.01
SYED RIZWAN NAQWI - POLYESTER,2.07.01
JUNAID TRADERS RYK - COTTON,2.07.01
YASIR SHARIF - COTTON,2.07.01
NEW LUCKY COTTON,2.07.01
AL NOOR COTTON,2.07.01
CRES COT MILLS LTD,2.07.01
WHITO COTTON LINKS (PVT) LTD.,2.07.01
TATA COTTON FACTORY,2.07.01
GHOUSIA COTTON,2.07.01
SAKHI SULTAN FAQEER COTTON,2.07.01
SEVEN STAR COTTON & OIL INDUSTRIES,2.07.01
HAMEER FAQEER QUALITY COTTON GINNER FACTORY,2.07.01
ADAMJEE INSURANCE - VISCOSE PURCHASE,2.07.01
SUN FIBER POLYESTER,2.07.01
UNITED INSURANCE - VISCOSE PURCHASE,2.07.01
SITARA TEXTILE MILLS LTD.,2.07.01
QASUR TEXTILE,2.07.01
BISMILLAH COTTON,2.07.01
H.A HAQ TEXTILE,2.07.01
BOMBAL TEXTILE MILLS (PVT) LTD.,2.07.01
AZAD COTTON,2.07.01
PATRON INTL. - MATERIAL PURCHASE,2.07.01
PARADISE SPINNING MILLS LTD.,2.07.01
SHOAIB - COTTON,2.07.01
GADOON TEXTILE MILLS LTD.,2.07.01
SHAHNIYAL TEXTILE ASSOCIATION,2.07.01
TANVEER SPINNING & WEAVING MILLS (PVT) LTD.,2.07.01
HAMEED (PVT) LTD.,2.07.01
ASIF COTTON GINNERS,2.07.01
IDREES TEXTILE MILLS LIMITED. MATERIAL PURCHASE,2.07.01
FABCOT INTERNATIONAL - MATERIAL PURCHASE,2.07.01
LODHRAN FIBRES,2.07.01
REHMAN SEED CORPORATION,2.07.01
STAR TEXTILE MILLS LTD,2.07.01
TALHA KHAN - GLAXY TEXTILE,2.07.01
AHMED BAKHSH & SONS.,2.07.01
ZAMAN TEXTILE MILLS (PVT) LTD. - VISCOSE,2.07.01
SAPPHIRE TEXTILE MILLS LTD - UNIT 4 - POLYESTER,2.07.01
QASIM TEXTILE - VISCOSE,2.07.01
MUDASSAR COTTON GINNER - CHICHAWATNI,2.07.01
A.G TEXTILE - MATERIAL PURCHASE,2.07.01
FAREED KHAN - MIR AFZAL - RAW MATERIAL,2.07.01
SIFAT GHARANI TRADING,2.07.01
